Gene Hackman	Philip Seymour Hoffman
Joe Chrest	Rhoda Griffis
Marcia Gay Harden	William Sadler
Jason Mewes	Rosario Dawson
Danny McBride	Jason Mewes
Hugh Jackman	Russell Crowe
Jason Bateman	Ryan Reynolds
Bonnie Johnson	Brett Rice
Amy Poehler	Justin Long
Amy Adams	James Duval
Amanda Seyfried	Amy Poehler
Rosario Dawson	Val Kilmer
James Marsden	Parker Posey
Billy Burke	Edrick Browne
Judy Greer	Taraji P. Henson
Danny Trejo	Lance Henriksen
Gary Oldman	Juno Temple
Kris Kristofferson	Tony Todd
Jeff Chase	Rus Blackwell
Jane Lynch	Molly Shannon
Rance Howard	Vince Vaughn
Kevin Bacon	Robert Patrick
Kevin Hart	Rance Howard
J.K. Simmons	Noel Gugliemi
Amy Adams	Molly Shannon
Christian Bale	Julianne Moore
Richard Riehle	Tom Sizemore
Carlos Alazraqui	Tom Hanks
Channing Tatum	Vinnie Jones
Allison Janney	Ritchie Montgomery
Chazz Palminteri	Christopher Lloyd
Neal McDonough	Ritchie Montgomery
Bill Hader	Patrick Warburton
Channing Tatum	Ray Liotta
Dwayne Johnson	Ed Harris
Christopher Walken	Jonah Hill
Amy Adams	Craig Robinson
Paul Dano	Robert De Niro
David Jensen	Joe Chrest
Heather Graham	Lindsay Lohan
Helen Mirren	Nicolas Cage
Bonnie Johnson	Robert Forster
Christopher Walken	William H. Macy
Justin Long	Missi Pyle
Denis O'Hare	Tom Wilkinson
Lindsay Lohan	Neal McDonough
Luke Wilson	Tracy Morgan
Ian McKellen	Lin Shaye
Forest Whitaker	Mike Epps
John Leguizamo	Kristen Wiig
J.K. Simmons	Paul Rudd
Christopher McDonald	Elaine Hendrix
Stanley Tucci	Tony Hale
Richard Jenkins	Will Ferrell
Craig Robinson	Kristen Bell
Bryan Cranston	Matthew McConaughey
James Caan	Steven Bauer
Christian Bale	Tom Wilkinson
Christopher McDonald	Joel David Moore
Diora Baird	Rob Corddry
Jon Voight	Vince Vaughn
Dennis Quaid	Forest Whitaker
Molly Shannon	Morgan Freeman
Al Pacino	Robert De Niro
Colin Farrell	Emma Thompson
Anthony Hopkins	Bob Gunton
Anna Kendrick	Philip Baker Hall
Anthony Mackie	Bai Ling
Ray Wise	Rhoda Griffis
Frank Welker	Ken Jeong
Mike Vogel	Richard Jenkins
Lucy Punch	Will Forte
John Cusack	Liev Schreiber
Anthony Hopkins	Michael Clarke Duncan
Juno Temple	Michael Caine
Alec Baldwin	Leonardo DiCaprio
Cedric the Entertainer	Dwayne Johnson
Carmen Electra	Richard Riehle
James Franco	Juno Temple
Bill Hader	Danny McBride
Heath Ledger	Jeremy Irons
