Joel Michaely	Answers to Nothing
Diora Baird	Quit
Robin Williams	Robin Williams: Weapons of Self-Destruction
Val Kilmer	The Ten Commandments: The Musical
Richard Kind	The Wild
Anthony Hopkins	The World's Fastest Indian
Tara Reid	Vipers
Hugh Jackman	Rise of the Guardians
Alec Baldwin	Rise of the Guardians
Billy Burke	Forfeit
Michael Madsen	Outrage: Born in Terror
Seth Rogen	Paper Heart
Martin Starr	Paper Heart
Clint Eastwood	Fog City Mavericks
Michael Douglas	Fog City Mavericks
Bryan Cranston	Love Ranch
Helen Mirren	Love Ranch
Joe Pesci	Love Ranch
Gina Gershon	Love Ranch
Bai Ling	Love Ranch
M. C. Gainey	Love Ranch
Steven Bauer	Suicide Dolls
Seth Rogen	Pineapple Express
James Franco	Pineapple Express
Bill Hader	Pineapple Express
Kevin Corrigan	Pineapple Express
Craig Robinson	Pineapple Express
Danny McBride	Pineapple Express
Kristen Wiig	Walk Hard: The Dewey Cox Story
Chris Parnell	Walk Hard: The Dewey Cox Story
Jenna Fischer	Walk Hard: The Dewey Cox Story
John C. Reilly	Walk Hard: The Dewey Cox Story
Margo Martindale	Walk Hard: The Dewey Cox Story
Rance Howard	Walk Hard: The Dewey Cox Story
Craig Robinson	Walk Hard: The Dewey Cox Story
Martin Starr	Walk Hard: The Dewey Cox Story
Ed Helms	Walk Hard: The Dewey Cox Story
Justin Long	Walk Hard: The Dewey Cox Story
Al Pacino	Dali &amp; I: The Surreal Story
Giancarlo Esposito	A Killer Within
C. Thomas Howell	A Killer Within
Kristen Wiig	Forgetting Sarah Marshall
Kristen Bell	Forgetting Sarah Marshall
Jonah Hill	Forgetting Sarah Marshall
Paul Rudd	Forgetting Sarah Marshall
Bill Hader	Forgetting Sarah Marshall
Susan Sarandon	Christa McAuliffe: Reach for the Stars
Martin Starr	6 Month Rule
Maria Bello	St. Vincent
Oliver Platt	Lucky Them
Jessica Biel	Emanuel and the Truth about Fishes
Alfred Molina	Emanuel and the Truth about Fishes
Ving Rhames	The Red Canvas
John Savage	The Red Canvas
Ron Perlman	Dark Country
Ving Rhames	Give 'Em Hell, Malone
Dean Cain	Bed &amp; Breakfast
John Savage	Bed &amp; Breakfast
Eric Roberts	Bed &amp; Breakfast
Bruce Davison	Bigfoot
Mike Vogel	The Deaths of Ian Stone
Fred Willard	Ira and Abby
Frances Conroy	Ira and Abby
Chris Messina	Ira and Abby
Chris Parnell	Ira and Abby
Giancarlo Esposito	Noise
Woody Harrelson	After the Sunset
Don Cheadle	After the Sunset
Joseph Gordon-Levitt	Brick
Noah Segan	Brick
Danny Huston	Silver City
Maria Bello	Silver City
Kris Kristofferson	Silver City
John Leguizamo	The Happening
Dennis Quaid	The Alamo
Patrick Wilson	The Alamo
Sam Rockwell	Snow Angels
Olivia Thirlby	Snow Angels
Vivica A. Fox	Unstable Fables: Tortoise vs. Hare
Danny Glover	Unstable Fables: Tortoise vs. Hare
Noah Segan	Undocumented
Bai Ling	Best of Chris Isaak
Emma Thompson	Brave
Ron Perlman	Conan the Barbarian
Morgan Freeman	Conan the Barbarian
Robin Williams	Robots
Stanley Tucci	Robots
Paul Giamatti	Robots
Jennifer Coolidge	Robots
Jeffrey Tambor	The SpongeBob SquarePants Movie
Alec Baldwin	The SpongeBob SquarePants Movie
Tom Kenny	The SpongeBob SquarePants Movie
Scarlett Johansson	The SpongeBob SquarePants Movie
Tom Kenny	The SpongeBob SquarePants Movie
Tom Kenny	The SpongeBob SquarePants Movie
Danny Glover	Gospel Hill
Samuel L. Jackson	Gospel Hill
Giancarlo Esposito	Gospel Hill
Neal McDonough	Walking Tall
Kevin Durand	Walking Tall
Dwayne Johnson	Walking Tall
Daniel Roebuck	Flourish
Danny McBride	This Is the End
Seth Rogen	This Is the End
Jonah Hill	This Is the End
James Franco	This Is the End
Paul Rudd	This Is the End
Kevin Hart	This Is the End
Martin Starr	This Is the End
Channing Tatum	This Is the End
Craig Robinson	This Is the End
David Jensen	This Is the End
Tim Robbins	Noise
Kris Kristofferson	Lords of the Street
Bonnie Johnson	Pray
Channing Tatum	Step Up
William H. Macy	Shorts
Stephen Dorff	Bucky Larson: Born to Be a Star
Edward Herrmann	Bucky Larson: Born to Be a Star
Carlos Alazraqui	Combustion
Joel Michaely	Something Real
Frank Welker	Big Top Scooby-Doo!
Chris Pratt	Bride Wars
Colin Farrell	Kicking It
Denzel Washington	The Taking of Pelham 123
John Savage	Confessions of a Pit Fighter
James Russo	Confessions of a Pit Fighter
Susan Sarandon	Middle of Nowhere
Taraji P. Henson	The Good Doctor
David Cross	Alvin and the Chipmunks: Chipwrecked
Amy Poehler	Alvin and the Chipmunks: Chipwrecked
Justin Long	Alvin and the Chipmunks: Chipwrecked
James Franco	Cherry
Heather Graham	Cherry
Alec Baldwin	Karl Rove, I Love You
James Duval	Penance
Lochlyn Munro	Penance
Tony Todd	Penance
Michael Rooker	Penance
Clint Eastwood	Johnny Mercer: The Dream's On Me
Bill Murray	A Glimpse Inside the Mind of Charles Swan III
Mark Strong	Mindscape
Brian Cox	Mindscape
Ron Perlman	Hellboy II: The Golden Army
Jeffrey Tambor	Hellboy II: The Golden Army
Snoop Dogg	Hood of Horror
Danny Trejo	Hood of Horror
Ron Jeremy	Poultrygeist: Night of the Chicken Dead
Colin Firth	The Accidental Husband
Jeffrey Dean Morgan	The Accidental Husband
Ray Liotta	Chasing 3000
Seymour Cassel	Chasing 3000
Edward Norton	The Incredible Hulk
Tim Blake Nelson	The Incredible Hulk
Robert Downey Jr.	The Incredible Hulk
Cedric the Entertainer	Barbershop 2: Back in Business
Queen Latifah	Barbershop 2: Back in Business
Christian Slater	Sacrifice
Arielle Kebbel	Mardi Gras: Spring Break
Carmen Electra	Mardi Gras: Spring Break
David Jensen	Warbirds
Robin Williams	Man of the Year
Christopher Walken	Man of the Year
Dee Wallace	Expiration Date
Daniel Roebuck	Final Sale
Michael Ironside	Liberty
Michael Ironside	He's Been Hypnotized
Michael Ironside	California Winter
Michael Ironside	Synchronicity
David Carradine	All Hell Broke Loose
John Carroll Lynch	Gran Torino
Clint Eastwood	Gran Torino
Anthony Mackie	Notorious
J.K. Simmons	New In Town
Frances Conroy	New In Town
Rashida Jones	New In Town
Olivia Thirlby	Eve
Liam Neeson	Seraphim Falls
Mark Strong	Miss Pettigrew Lives for a Day
Amy Adams	Miss Pettigrew Lives for a Day
Ciar?n Hinds	Miss Pettigrew Lives for a Day
Emily Blunt	The Young Victoria
Mark Strong	The Young Victoria
Sean Astin	Bigger Than the Sky
Tim Blake Nelson	Bereft
Edward Herrmann	Bereft
Christopher McDonald	Funny Money
Carmen Electra	Searching for Bobby D
Adam LeFevre	How To Seduce Difficult Women
Frank Welker	Scooby-Doo! Curse of the Lake Monster
Will Forte	The Immigrant
Carlos Alazraqui	Mucha Lucha: The Return of El Malefico
Carlos Alazraqui	Mucha Lucha: The Return of El Malefico
Anthony Mackie	The Inevitable Defeat of Mister and Pete
Jeffrey Wright	The Inevitable Defeat of Mister and Pete
Rachel McAdams	The Time Traveler's Wife
Stephen Tobolowsky	The Time Traveler's Wife
Dennis Quaid	The Express
Patricia Clarkson	No Reservations
John Savage	Alien Lockdown
Morgan Freeman	Thick as Thieves
Robert Forster	Thick as Thieves
Terry Crews	Middle Men
Luke Wilson	Middle Men
James Caan	Middle Men
Robert Forster	Middle Men
Richard Riehle	Gay Baby
Rosemarie DeWitt	Afterschool
Melissa Leo	This is a Story About Ted and Alice
Carlos Alazraqui	The Last White Dishwasher
Giancarlo Esposito	Chelsea On the Rocks
Joaquin Phoenix	Two Lovers
Elias Koteas	Two Lovers
Tony Curran	Shuttle
Jason Mewes	The Science of Cool
Danny Huston	Alpha Male
John Goodman	Freshman Orientation
J.K. Simmons	The Way of War
David Jensen	The Way of War
Jesse Eisenberg	Camp Hell
Bruce Davison	Camp Hell
Viola Davis	Jesse Stone: Sea Change
Stephen McHattie	Jesse Stone: Sea Change
William Sadler	Jesse Stone: Sea Change
Stephen McHattie	Jesse Stone: Death in Paradise
Viola Davis	Jesse Stone: Death in Paradise
Viola Davis	Jesse Stone: Night Passage
Stephen McHattie	Jesse Stone: Night Passage
Matthew McConaughey	Killer Joe
Juno Temple	Killer Joe
Gina Gershon	Killer Joe
Marc Macaulay	Killer Joe
Ed Helms	Jeff, Who Lives at Home
Judy Greer	Jeff, Who Lives at Home
Susan Sarandon	Jeff, Who Lives at Home
Joe Chrest	Jeff, Who Lives at Home
J.D. Evermore	Jeff, Who Lives at Home
Lance E. Nichols	Jeff, Who Lives at Home
Lance E. Nichols	Jeff, Who Lives at Home
Rob Huebel	Terrorists
Rob Riggle	Terrorists
Robin Williams	An Uncommon Kindness: The Father Damien Story
Kristen Wiig	Legend of the Boneknapper Dragon
Jonah Hill	Legend of the Boneknapper Dragon
Bradley Cooper	Limitless
Robert De Niro	Limitless
Michael Sheen	Jesus Henry Christ
Gary Oldman	Red Riding Hood
Amanda Seyfried	Red Riding Hood
Billy Burke	Red Riding Hood
Kris Kristofferson	Blade: Trinity
Ryan Reynolds	Blade: Trinity
Jessica Biel	Blade: Trinity
Parker Posey	Blade: Trinity
James Remar	Blade: Trinity
Bill Moseley	Dead Air
Ray Liotta	Comeback Season
Kevin Corrigan	Goodbye Baby
Danny Huston	The Kreutzer Sonata
Ryan Reynolds	Buried
Stephen Tobolowsky	Buried
Mary Steenburgen	Dirty Girl
Juno Temple	Dirty Girl
William H. Macy	Dirty Girl
Jessica Alba	Awake
Terrence Howard	Awake
Christopher McDonald	Awake
Christian Slater	Slipstream
Michael Clarke Duncan	Slipstream
Anthony Hopkins	Slipstream
Jeffrey Tambor	Slipstream
Christian Slater	Slipstream
Christian Slater	Slipstream
Michael Clarke Duncan	Slipstream
