Kristen Wiig	Girl Most Likely
Marcia Gay Harden	The Invisible
Michelle Monaghan	Eagle Eye
Rosario Dawson	Eagle Eye
Anthony Mackie	Eagle Eye
Julianne Moore	Eagle Eye
William Sadler	Eagle Eye
Emily Blunt	Sunshine Cleaning
Alan Arkin	Sunshine Cleaning
Amy Adams	Sunshine Cleaning
Juno Temple	Swerve
Noah Segan	Swerve
Elizabeth Banks	Meet Dave
Ed Helms	Meet Dave
Kevin Hart	Meet Dave
Michael Biehn	Planet Terror
Bruce Willis	Planet Terror
Josh Brolin	Planet Terror
Rosario Dawson	Death Proof
Tracy Morgan	G-Force
Steve Buscemi	G-Force
Nicolas Cage	G-Force
Zach Galifianakis	G-Force
Will Arnett	G-Force
Sam Rockwell	G-Force
Chris Evans	Push
Dakota Fanning	Push
Jeremy Irons	The Majestic Plastic Bag
Adam Scott	The Terrys
Sean Patrick Flanery	Citizen Jane
Tom Sizemore	Double Duty
Ron Jeremy	Trade In
Lucy Punch	Yellow
Ray Liotta	Yellow
Tom Wilkinson	Felony
50 Cent	50 Cent: Who Dares Wins
James Caan	Anyone's Son
Stephen Tobolowsky	Egg Scape
Adam Scott	See Girl Run
William Sadler	See Girl Run
Jason Statham	Homefront
James Franco	Homefront
Christa Campbell	Homefront
50 Cent	The Game: The Documentary: The DVD
James Franco	Sal
Chris Mulkey	Little Chenier
Dermot Mulroney	Hair High
Justin Long	Hair High
David Carradine	Hair High
Steven Bauer	Kings of South Beach
Danny Trejo	Necessary Evil
Lance Henriksen	Necessary Evil
Richard Riehle	Necessary Evil
Parker Posey	Broken English
James Franco	The Dead Girl
Marcia Gay Harden	The Dead Girl
Mary Steenburgen	The Dead Girl
Bruce Davison	The Dead Girl
Josh Brolin	The Dead Girl
Nicole Kidman	No. 5 the Film
Jason Mewes	Shoot the Hero
Danny Trejo	Shoot the Hero
Willem Dafoe	Daybreakers
Vivica A. Fox	Private Valentine: Blonde &amp; Dangerous
Jane Lynch	Eye of the Dolphin
Mark Boone Junior	5 Star Day
Cam Gigandet	5 Star Day
Richard Riehle	5 Star Day
William Sadler	Shadowheart
Rance Howard	Shadowheart
Colin Farrell	Cassandra's Dream
Tom Wilkinson	Cassandra's Dream
Missi Pyle	Entry Level
Danny Glover	Honeydripper
Mary Steenburgen	Honeydripper
Christopher McDonald	Reunion
Mark Boone Junior	Everything Will Happen Before You Die
James Duval	Everything Will Happen Before You Die
Eric Roberts	Grace
Rob Schneider	The Reef: High Tide
Eric Roberts	Miracle Underground
Eric Roberts	23 Minutes to Sunrise
Kevin Corrigan	Don't Look Up
Danny Trejo	Beatdown
Clint Howard	Holyman Undercover
Fred Willard	Holyman Undercover
Malin ?kerman	The Romantics
Tony Hale	Successful Alcoholics
Tommy Lee Jones	Harvard Beats Yale 29-29
John Leguizamo	Where God Left His Shoes
James Russo	Chill
Anthony Mackie	We Are Marshall
Matthew McConaughey	We Are Marshall
David Strathairn	We Are Marshall
Robert Patrick	We Are Marshall
Brett Rice	We Are Marshall
Kristen Bell	Serious Moonlight
Justin Long	Serious Moonlight
Michael Rooker	Super Capers
Tom Sizemore	Super Capers
Clint Howard	Super Capers
Michael Rooker	Super Capers
Vincent Pastore	Alienated
Ron Perlman	The Devil's Tomb
Bill Moseley	The Devil's Tomb
Lance Henriksen	Screamers: The Hunting
Dee Wallace	Scar
Richard Kind	Santa Paws 2: The Santa Pups
Rip Torn	The Sisters
Elizabeth Banks	The Sisters
Maria Bello	The Sisters
Melissa Leo	Black Irish
Lin Shaye	Driftwood
C. Thomas Howell	Mutant Vampire Zombies from the 'Hood!
Jason Statham	The Expendables
Terry Crews	The Expendables
Eric Roberts	The Expendables
Bruce Willis	The Expendables
Bruce McGill	Law Abiding Citizen
Jamie Foxx	Law Abiding Citizen
Viola Davis	Law Abiding Citizen
Dee Wallace	The House of the Devil
Lochlyn Munro	The Keeper
Lin Shaye	Wolf Moon
Chris Mulkey	Wolf Moon
Kathryn Hahn	The Last Mimzy
Michael Clarke Duncan	The Last Mimzy
Lochlyn Munro	The Art of War II: Betrayal
Alec Baldwin	Brooklyn Rules
Heather Graham	Mary
Forest Whitaker	Mary
Stephen Dorff	Botched
Chris Mulkey	Deadline
Paul Rudd	Diggers
Lauren Ambrose	Diggers
Marcia Gay Harden	The Courageous Heart of Irena Sendler
Melanie Lynskey	Touchback
Michael Madsen	A Way with Murder
C. Thomas Howell	Wedding Day
David Koechner	Wedding Day
Bill Moseley	Theatre of the Devil
Lin Shaye	Cross Bronx
Rip Torn	Three Days to Vegas
John Goodman	Girls Gone Gangsta
David Carradine	Money to Burn
Michael Madsen	Money to Burn
David Carradine	Six Days in Paradise
Michael Madsen	Six Days in Paradise
Danny Trejo	Six Days in Paradise
Eric Roberts	Sharktopus
Seymour Cassel	Beau Jest
Sean Patrick Flanery	Deadly Impact
Tom Sizemore	Zyzzyx Road
William Sadler	Jimmy and Judy
Bruce Willis	Hammy's Boomerang Adventure
Steve Carell	Hammy's Boomerang Adventure
Queen Latifah	The Dilemma
Vince Vaughn	The Dilemma
Channing Tatum	The Dilemma
Rance Howard	The Dilemma
Clint Howard	The Dilemma
Michael Madsen	Paradi$e
Beau Bridges	Game Time: Tackling the Past
Vinnie Jones	Mentryville
Danny Glover	Mentryville
Carlos Alazraqui	Taco Shop
Eric Roberts	Taco Shop
Richard Riehle	The Obsession
James Duval	The Obsession
Jason Mewes	Tom Cool
Martin Starr	Laura Keller - NB
Ving Rhames	Soldiers of Fortune
Christian Slater	Soldiers of Fortune
James Cromwell	Soldiers of Fortune
Ray Liotta	The River Murders
Ving Rhames	The River Murders
Christian Slater	The River Murders
Mark Boone Junior	Vice
Michael Madsen	Vice
Jeff Chase	Swamp Shark
Edrick Browne	Swamp Shark
Richard Tyson	The Visitation
Noah Segan	The Visitation
Danny Trejo	The Haunted World of El Superbeasto
Daniel Roebuck	The Haunted World of El Superbeasto
Paul Giamatti	The Haunted World of El Superbeasto
Tom Kenny	The Haunted World of El Superbeasto
Rosario Dawson	The Haunted World of El Superbeasto
Bill Moseley	The Haunted World of El Superbeasto
Dee Wallace	The Haunted World of El Superbeasto
John Goodman	The Year Without A Santa Claus
Tom Kenny	Re-Animated
Fred Willard	Re-Animated
Ralph Fiennes	Great Expectations
Chris Parnell	Kung Fu Magoo
Tom Kenny	Kung Fu Magoo
Daniel Roebuck	Changing Hands
Vivica A. Fox	There's a Stranger in my House
Clifton Powell	There's a Stranger in my House
Owen Wilson	You Are Here
Zach Galifianakis	You Are Here
Jenna Fischer	You Are Here
Amy Poehler	You Are Here
Edward Herrmann	You Are Here
Seth Rogen	B.O.B.'s Big Break
Will Arnett	B.O.B.'s Big Break
Ron Perlman	The Legend of Secret Pass
David Cross	The Legend of Secret Pass
Dennis Quaid	Soul Surfer
Michelle Monaghan	Made of Honor
Chris Messina	Made of Honor
Kris Kristofferson	Snow Buddies
Molly Shannon	Snow Buddies
Snoop Dogg	Bigg Snoop Dogg: Adventures of Tha Blue Carpet Treatment
Paul Rudd	Admission
Wallace Shawn	Admission
Michael Sheen	Admission
Colin Farrell	Dead Man Down
Terrence Howard	Dead Man Down
Richard Tyson	The Fear Chamber
Edrick Browne	Mindsight
Keith David	The Chronicles of Riddick: Dark Fury
Cedric the Entertainer	Code Name: The Cleaner
David Koechner	The Dukes of Hazzard
M. C. Gainey	The Dukes of Hazzard
Patricia Clarkson	The Dying Gaul
Danny Glover	The Exonerated
Aidan Quinn	The Exonerated
Susan Sarandon	The Exonerated
Bobby Cannavale	The Exonerated
Stephen Root	The Fox and the Hound 2
Jeff Bennett	The Fox and the Hound 2
Ben Foster	The Heart Is Deceitful Above All Things
Jeremy Sisto	The Heart Is Deceitful Above All Things
Kathryn Hahn	The Goods: Live Hard, Sell Hard.
Craig Robinson	The Goods: Live Hard, Sell Hard.
Tony Hale	The Goods: Live Hard, Sell Hard.
Ving Rhames	The Goods: Live Hard, Sell Hard.
David Koechner	The Goods: Live Hard, Sell Hard.
Ed Helms	The Goods: Live Hard, Sell Hard.
Ken Jeong	The Goods: Live Hard, Sell Hard.
Rob Riggle	The Goods: Live Hard, Sell Hard.
Will Ferrell	The Goods: Live Hard, Sell Hard.
Gina Gershon	The Goods: Live Hard, Sell Hard.
Patrick Wilson	Insidious
Lin Shaye	Insidious
Elaine Hendrix	General Education
Idris Elba	Pacific Rim
Ron Perlman	Pacific Rim
Sean Astin	And They're Off
Martin Starr	Deep Dark Canyon
Mircea Monroe	Lone Star Trixie
Christian Slater	Lives
Danny Glover	Cooking with B. Smith and Friends: Desserts
Dean Cain	Lost
Danny Trejo	Lost
David Koechner	Get Smart
Alan Arkin	Get Smart
Steve Carell	Get Smart
Terry Crews	Get Smart
Dwayne Johnson	Get Smart
Bill Murray	Get Smart
James Caan	Get Smart
Patrick Warburton	Get Smart
Sean Astin	What Love Is
Gina Gershon	What Love Is
Morgan Freeman	10 Items or Less
Bobby Cannavale	10 Items or Less
Jonah Hill	10 Items or Less
Danny Trejo	Modus Operandi
Tom Sizemore	The Genius Club
Jane Lynch	For Your Consideration
Parker Posey	For Your Consideration
Fred Willard	For Your Consideration
Jennifer Coolidge	For Your Consideration
Paul Giamatti	The Hawk Is Dying
Marc Macaulay	The Hawk Is Dying
Bill Moseley	Three
Jessica Biel	Nailed
James Marsden	Nailed
Tracy Morgan	Nailed
James Russo	On the Doll
Cam Gigandet	On the Doll
Ed Harris	Man on a Ledge
Elizabeth Banks	Man on a Ledge
Anthony Mackie	Man on a Ledge
Rachel McAdams	The Vow
Channing Tatum	The Vow
Denis O'Hare	Garden State
Rip Torn	August
Adam Scott	August
Leonardo DiCaprio	Body of Lies
Russell Crowe	Body of Lies
Mark Strong	Body of Lies
Billy Burke	Untraceable
Jeff Bennett	The Land Before Time XIII: The Wisdom of Friends
Vincent Pastore	Rampage: The Hillside Strangler Murders
John Heard	Brothers Three
Neal McDonough	Brothers Three
Patrick Wilson	Brothers Three
Ken Jeong	Uncle P
Dee Wallace	Margarine Wars
George Clooney	The Ides of March
Paul Giamatti	The Ides of March
Philip Seymour Hoffman	The Ides of March
Jeffrey Wright	The Ides of March
Jason Bateman	Horrible Bosses
Kevin Spacey	Horrible Bosses
Jennifer Aniston	Horrible Bosses
Colin Farrell	Horrible Bosses
Jamie Foxx	Horrible Bosses
Ken Jeong	The Kims of Comedy
Kristen Bell	Flatland: The Movie
Tony Hale	Flatland: The Movie
Martin Sheen	Flatland: The Movie
James Marsden	Sex Drive
Richard Kind	Sands of Oblivion
Idris Elba	The Human Contract
Josh Lucas	Glory Road
Jon Voight	Glory Road
Brett Rice	Glory Road
Queen Latifah	The Cookout
Danny Glover	The Cookout
Elias Koteas	The Greatest Game Ever Played
Ciar?n Hinds	Glock
Stephen Root	Glock
Kristen Wiig	Hateship, Loveship
Patricia Clarkson	The Flying House
50 Cent	Escape Plan
Bobby Cannavale	Roadie
Fred Armisen	Kiss Me Again
Danny Trejo	All Souls Day
Mircea Monroe	All Souls Day
Ryan Reynolds	Chaos Theory
Matthew McConaughey	Failure to Launch
Kathy Bates	Failure to Launch
Bradley Cooper	Failure to Launch
Stephen Tobolowsky	Failure to Launch
Robin Williams	RV
Will Arnett	RV
Tony Hale	RV
Christopher Plummer	The Lake House
Tracy Morgan	Little Man
Chazz Palminteri	Little Man
Rob Schneider	Little Man
Lochlyn Munro	Little Man
Molly Shannon	Little Man
Sean Astin	Hercules
Patrick Warburton	Open Season
Jon Voight	Pope John Paul II
James Cromwell	Pope John Paul II
Terry Crews	Puff, Puff, Pass
Matt Damon	Oh, What a Lovely Tea Party
Will Ferrell	Oh, What a Lovely Tea Party
Jason Mewes	Oh, What a Lovely Tea Party
Snoop Dogg	Falling Up
Carmen Electra	Oy Vey! My Son Is Gay!!
Vincent Pastore	Oy Vey! My Son Is Gay!!
Christopher Lloyd	The Oogieloves in the Big Balloon Adventure
Cloris Leachman	The Oogieloves in the Big Balloon Adventure
Chazz Palminteri	The Oogieloves in the Big Balloon Adventure
Mike Epps	Love Chronicles: Secrets Revealed
Ving Rhames	Love Chronicles: Secrets Revealed
Vivica A. Fox	Love Chronicles: Secrets Revealed
Michael Ironside	Surveillance
Michael Rooker	Pennhurst
Ron Jeremy	Manson Girls
Bill Moseley	Manson Girls
Ben Foster	Blink
Joel David Moore	Shark Night
Christa Campbell	Gun
Val Kilmer	Gun
50 Cent	Gun
James Remar	Gun
Danny Trejo	Gun
Patricia Clarkson	One Day
Tom Arnold	Chasing Christmas
Brian Cox	Tell-Tale
Josh Lucas	Tell-Tale
Richard Riehle	The 12 Dogs of Christmas
Clint Howard	A Christmas Too Many
Samuel L. Jackson	Honor Deferred
Clifton Powell	Internet Dating
Ed Harris	Two Tickets to Paradise
Stephen McHattie	The Covenant
Malcolm McDowell	The Curse of King Tut's Tomb
Amy Poehler	On Broadway
Will Arnett	On Broadway
Wallace Shawn	The Speed of Thought
Carmen Electra	Dirty Love
Lochlyn Munro	Dirty Love
Jason Mewes	Feast
Ryan Reynolds	Smokin' Aces
Ray Liotta	Smokin' Aces
Jason Bateman	Smokin' Aces
Kevin Durand	Smokin' Aces
Taraji P. Henson	Smokin' Aces
Lindsay Lohan	Just My Luck
Missi Pyle	Just My Luck
Dee Wallace	The Plague
David Strathairn	Heavens Fall
Anthony Mackie	Heavens Fall
Ben Kingsley	War, Inc.
John Cusack	War, Inc.
Luke Wilson	Blonde Ambition
Christa Campbell	Blonde Ambition
David Koechner	The Comebacks
Bradley Cooper	The Comebacks
Will Arnett	The Comebacks
Denis O'Hare	Angel Rodriguez
Vivica A. Fox	Trapped: Haitian Nights
Robert De Niro	Silver Linings Playbook
Bradley Cooper	Silver Linings Playbook
Rhoda Griffis	Parental Guidance
Bruce Willis	A Good Day to Die Hard
Christopher Plummer	Barrymore
Kellan Lutz	Ghosts of Goldfield
Christopher Lloyd	The Chateau Meroux
John Leguizamo	Tlatelolco68
John Leguizamo	Fugly!
Melissa Leo	The Sea Is All I Know
Melissa Leo	Dwegons
Melissa Leo	Dwegons
Melissa Leo	Dwegons
Melissa Leo	Lost Revolution
Melissa Leo	Francine
Clifton Powell	Let God Be the Judge
Michael Ironside	Lake Placid 3
David Carradine	Road of No Return
Jason Mewes	Breath of Hate
Lance Henriksen	Godkiller
Bill Moseley	Godkiller
David Carradine	Break
James Russo	Break
Michael Madsen	Break
Jane Lynch	The Hammer
Bob Gunton	Dead Silence
Michael Biehn	Bereavement
John Savage	Bereavement
Christopher Lloyd	Call of the Wild
David Strathairn	Howl
James Franco	Howl
Dee Wallace	Voodoo Moon
Val Kilmer	The Traveler
Jeff Bennett	Open Season 3
Vincent Pastore	The Devil's Dominoes
Kevin Hart	Kevin Hart: Let Me Explain
Tom Arnold	Endure
Brett Rice	Endure
Lance E. Nichols	Brawler
Liev Schreiber	Fading Gigolo
Mike Vogel	McCanick
Ciar?n Hinds	McCanick
Maria Bello	A History of Violence
Ed Harris	A History of Violence
Stephen McHattie	A History of Violence
Bruce Willis	Alpha Dog
Ben Foster	Alpha Dog
Amanda Seyfried	Alpha Dog
Olivia Wilde	Alpha Dog
Susan Sarandon	Elizabethtown
Alec Baldwin	Elizabethtown
Judy Greer	Elizabethtown
Ben Stiller	Envy
Amy Poehler	Envy
Christopher Walken	Envy
Rhoda Griffis	Odd Girl Out
Rachel McAdams	The Family Stone
Luke Wilson	The Family Stone
Dermot Mulroney	The Family Stone
Joaquin Phoenix	Walk the Line
Robert Patrick	Walk the Line
Paul Giamatti	The Amazing Screw-On Head
Molly Shannon	The Amazing Screw-On Head
James Duval	Kush
Clint Howard	River's End
Jackson Rathbone	River's End
C. Thomas Howell	Fuel
Billy Burke	David and Goliath
Danny Huston	Covert One: The Hades Factor
50 Cent	Born to Ball: On the Hardwood
Mircea Monroe	Fast Girl
Ron Jeremy	Abbey of Thelema
Dermot Mulroney	Griffin and Phoenix
Fred Armisen	Griffin and Phoenix
William H. Macy	Darius Goes West
Bill Murray	Get Low
Robert Duvall	Get Low
Dee Wallace	Kalamazoo?
Lacey Chabert	The Brooke Ellison Story
Noah Segan	Deadgirl
Michael Shannon	Man of Steel
Russell Crowe	Man of Steel
Amy Adams	Man of Steel
Ryan Reynolds	Turbo
Paul Giamatti	Turbo
Richard Jenkins	Turbo
Bill Hader	Turbo
Samuel L. Jackson	Turbo
Snoop Dogg	Turbo
Jane Lynch	Wreck-It Ralph
John C. Reilly	Wreck-It Ralph
Ralph Fiennes	Skyfall
Javier Bardem	Skyfall
Daniel Craig	Skyfall
Paul Rudd	This Is 40
Leonardo DiCaprio	Django Unchained
Christoph Waltz	Django Unchained
Jamie Foxx	Django Unchained
Samuel L. Jackson	Django Unchained
M. C. Gainey	Django Unchained
Matt Damon	Elysium
Steve Buscemi	Monsters University
John Goodman	Monsters University
Rob Riggle	Monsters University
Ken Jeong	Monsters University
Will Smith	Hancock
Jason Bateman	Hancock
Thomas Lennon	Hancock
Mike Epps	Hancock
Jason Statham	The Bank Job
Bradley Cooper	The Rocker
Will Arnett	The Rocker
Fred Armisen	The Rocker
Jane Lynch	The Rocker
John Carroll Lynch	Things We Lost in the Fire
Ben Kingsley	Elegy
Patricia Clarkson	Elegy
Thomas Lennon	Howard Cantour
Beth Grant	The Perfect Fit
Lance Henriksen	Alien vs. Predator
Diora Baird	The Texas Chainsaw Massacre: The Beginning
David Koechner	Waiting...
Justin Long	Waiting...
Ryan Reynolds	Waiting...
Noah Segan	What We Do Is Secret
Ving Rhames	Phantom Punch
Johnny Depp	Alice in Wonderland
Michael Sheen	Alice in Wonderland
Taraji P. Henson	Hurricane Season
Forest Whitaker	Hurricane Season
Paul Rudd	Prince Avalanche
Tony Hale	The Heat
Jennifer Aniston	Derailed
Giancarlo Esposito	Derailed
Denis O'Hare	Derailed
Dakota Fanning	Dreamer
Kris Kristofferson	Dreamer
Patrick Warburton	Hoodwinked!
Tom Kenny	Hoodwinked!
Chazz Palminteri	Hoodwinked!
Naomi Watts	Stay
Lance Henriksen	When a Stranger Calls
Richard Riehle	Death &amp; Texas
Steve Carell	Despicable Me 2
Kristen Wiig	Despicable Me 2
Steve Coogan	Despicable Me 2
Ken Jeong	Despicable Me 2
Jim Carrey	Kick-Ass 2
Chlo? Moretz	Kick-Ass 2
Chlo? Moretz	Kick-Ass 2
Dennis Quaid	Footloose
Brett Rice	Footloose
Ron Jeremy	I Am Virgin
Rhoda Griffis	Congratulations!
Liam Neeson	Taken
Giancarlo Esposito	Adele
Colin Firth	Then She Found Me
William Sadler	Purple Heart
Rance Howard	Boppin' at the Glue Factory
C. Thomas Howell	The Stolen Moments of September
Tom Kenny	Chilly
Tom Kenny	Chilly
Danny Glover	Be Kind Rewind
Sigourney Weaver	Be Kind Rewind
Amy Adams	Enchanted
James Marsden	Enchanted
Susan Sarandon	Enchanted
Jeff Bennett	Enchanted
Kristen Bell	Roman
Toby Jones	My Week with Marilyn
Ron Jeremy	Witch's Sabbath
Vincent Pastore	Spy
Woody Harrelson	Game Change
Ed Harris	Game Change
Julianne Moore	Game Change
Ray Wise	Wrong Cops
Clifton Powell	The American Dream
Denzel Washington	The Manchurian Candidate
Liev Schreiber	The Manchurian Candidate
Jeffrey Wright	The Manchurian Candidate
Jon Voight	The Manchurian Candidate
Adam LeFevre	The Manchurian Candidate
Vera Farmiga	The Manchurian Candidate
Anthony Mackie	The Manchurian Candidate
J.D. Evermore	The Chameleon
Ritchie Montgomery	The Chameleon
Lance E. Nichols	The Chameleon
Ed Harris	Salvation Boulevard
Ciar?n Hinds	Salvation Boulevard
Sigourney Weaver	Happy Holidays, Katherine Sloane
James Franco	Rebel
James Franco	Masculinity &amp; Me
Zach Galifianakis	Have Tig at Your Party
Zach Galifianakis	Speed Freaks
Zach Galifianakis	The Ballad of G.I. Joe
Billy Crudup	The Ballad of G.I. Joe
Tony Hale	The Ballad of G.I. Joe
Vinnie Jones	The Ballad of G.I. Joe
Julianne Moore	The Ballad of G.I. Joe
Olivia Wilde	The Ballad of G.I. Joe
Frank Welker	Mirror Mirror
Frank Welker	Mirror Mirror
Frank Welker	Mirror Mirror
Anthony Hopkins	Beowulf
John Malkovich	Beowulf
Robin Wright	Beowulf
Steve Buscemi	Monster House
Fred Willard	Monster House
Giancarlo Esposito	Carlito's Way: Rise to Power
Daniel Craig	Infamous
Toby Jones	Infamous
Sigourney Weaver	Infamous
James Marsden	The Box
Beth Grant	Rocker
Danny Trejo	Death Row
Don Cheadle	Hotel for Dogs
Heather Graham	Broken
Jeremy Sisto	Broken
Daniel Craig	Flashbacks of a Fool
Mark Strong	Flashbacks of a Fool
Daniel Roebuck	Finding Amanda
Steve Coogan	Finding Amanda
Christopher Plummer	My Dog Tulip
Michael Clarke Duncan	Street Fighter: The Legend of Chun-Li
Neal McDonough	Street Fighter: The Legend of Chun-Li
Steve Buscemi	Delirious
Gina Gershon	Delirious
Kevin Corrigan	Delirious
Tom Kenny	Tom &amp; Jerry and the Fast and the Furry
Jeff Bennett	Tom &amp; Jerry and the Fast and the Furry
Stephen Root	Tom &amp; Jerry and the Fast and the Furry
Jeff Bennett	Dead Space: Downfall
Jeff Bennett	Dead Space: Downfall
Jackson Rathbone	Hurt
Channing Tatum	Fighting
Terrence Howard	Fighting
50 Cent	The Game: Life After the Math
Tom Sizemore	Commute
Tom Sizemore	Commute
Josh Lucas	Poseidon
Mike Vogel	Poseidon
Brad Dourif	Seed of Chucky
David Carradine	Fuego
Owen Wilson	Cars
Paul Newman	Cars
Julianne Moore	Children of Men
Michael Caine	Children of Men
Danny Huston	Children of Men
Christopher Plummer	Closing the Ring
Nicolas Cage	The Frozen Ground
John Cusack	The Frozen Ground
50 Cent	The Frozen Ground
Javier Bardem	The Counselor
Brad Pitt	The Counselor
David Koechner	Cheap Thrills
Susan Sarandon	Arbitrage
Omari Hardwick	Middle of Nowhere
Melanie Lynskey	Hello I Must Be Going
Justin Long	For a Good Time, Call . . .
Seth Rogen	For a Good Time, Call . . .
Ron Perlman	Uncross the Stars
Rob Corddry	Wedding Daze
Edward Herrmann	Wedding Daze
Jessica Alba	The Love Guru
Ben Kingsley	The Love Guru
Val Kilmer	The Love Guru
Christopher Plummer	9
John C. Reilly	9
Dermot Mulroney	Dante's Inferno
James Cromwell	Dante's Inferno
Tony Hale	Dante's Inferno
Noah Segan	Waterborne
Liam Neeson	The Chronicles of Narnia: The Voyage of the Dawn Treader
Patricia Clarkson	Friends with Benefits
Woody Harrelson	Friends with Benefits
Richard Jenkins	Friends with Benefits
Kristen Stewart	On the Road
Amy Adams	On the Road
Steve Buscemi	On the Road
Joe Chrest	On the Road
Terrence Howard	On the Road
Kevin Spacey	Margin Call
Aasif Mandvi	Margin Call
Stanley Tucci	Margin Call
Jeremy Irons	Margin Call
Richard Tyson	Jake's Corner
Danny Trejo	Jake's Corner
Russell Crowe	The Man with the Iron Fists
Rob Huebel	Welcome to the Jungle
Robert De Niro	Last Vegas
Michael Douglas	Last Vegas
David Strathairn	Pilot
Emily Blunt	The Jane Austen Book Club
Maria Bello	The Jane Austen Book Club
Mary Steenburgen	The Proposal
Ryan Reynolds	The Proposal
Malin ?kerman	The Proposal
Aasif Mandvi	The Proposal
Denis O'Hare	The Proposal
Sigourney Weaver	Vantage Point
Dennis Quaid	Vantage Point
Forest Whitaker	Vantage Point
Bruce McGill	Vantage Point
M. C. Gainey	The Pardon
Philip Seymour Hoffman	The Savages
Stephen McHattie	Immortals
Stephen Dorff	Immortals
Kellan Lutz	Immortals
Hugh Jackman	The Wolverine
Olivia Wilde	The Change-Up
Ryan Reynolds	The Change-Up
Jason Bateman	The Change-Up
Alan Arkin	The Change-Up
Mircea Monroe	The Change-Up
Kevin Durand	Greener Mountains
Richard Riehle	Resurrection Mary
George Clooney	8
Kevin Bacon	8
Jane Lynch	8
Brad Pitt	8
Liev Schreiber	Inventing L.A.: The Chandlers and Their Times
C. Thomas Howell	Fighting Words
Fred Willard	Fighting Words
Bobby Cannavale	Weakness
Patrick Warburton	Action Hero
Don Cheadle	Crash
Terrence Howard	Crash
Keith David	Crash
Steve Carell	Little Miss Sunshine
Alan Arkin	Little Miss Sunshine
Paul Dano	Little Miss Sunshine
Beth Grant	Little Miss Sunshine
Clint Eastwood	Million Dollar Baby
Morgan Freeman	Million Dollar Baby
Margo Martindale	Million Dollar Baby
Anthony Mackie	Million Dollar Baby
Luke Wilson	Idiocracy
Terry Crews	Idiocracy
Oliver Platt	Loverboy
Kevin Bacon	Loverboy
Terry Crews	Norbit
Clifton Powell	Norbit
Rob Huebel	Norbit
Kevin Spacey	Superman Returns
Marlon Brando	Superman Returns
James Marsden	Superman Returns
Parker Posey	Superman Returns
Channing Tatum	Stop-Loss
Joseph Gordon-Levitt	Stop-Loss
Ciar?n Hinds	Stop-Loss
George Clooney	Leatherheads
Stephen Root	Leatherheads
Jeremy Sisto	Population 436
Hugh Jackman	Deception
Billy Crudup	Trust the Man
Julianne Moore	Trust the Man
Dean Cain	A Pure Country Gift
Jane Lynch	Promtroversy
Matt Damon	We Bought a Zoo
Scarlett Johansson	We Bought a Zoo
Hugh Jackman	Standing Room Only
C. Thomas Howell	The Jailhouse
Melanie Lynskey	Eye of the Hurricane
Rip Torn	3 Weeks to Daytona
Melanie Lynskey	Putzel
Lauren Ambrose	I'm Coming Over
Kevin Corrigan	The Last Beat
Kevin Corrigan	Ponies
Jane Lynch	Bam Bam and Celeste
Elaine Hendrix	Bam Bam and Celeste
Colin Farrell	Ondine
Tony Curran	Ondine
Emma Thompson	Nanny McPhee and the Big Bang
Ralph Fiennes	Nanny McPhee and the Big Bang
Brian Cox	The Good Heart
Paul Dano	The Good Heart
Emily Blunt	Gnomeo &amp; Juliet
Michael Caine	Gnomeo &amp; Juliet
Jason Statham	Gnomeo &amp; Juliet
Mary Steenburgen	Did You Hear About the Morgans?
Ron Perlman	The Second Front
Robert De Niro	American Hustle
Christian Bale	American Hustle
Amy Adams	American Hustle
Bradley Cooper	American Hustle
John Savage	Iowa
Bai Ling	The Gene Generation
Bai Ling	A Beautiful Life
James Dean	Super Hero Party Clown
Patrick Warburton	The Action Hero's Guide to Saving Lives
Eric Roberts	Deadline
Bruce Davison	Munger Road
Patrick Wilson	The Conjuring
Vera Farmiga	The Conjuring
Anna Kendrick	Drinking Buddies
Olivia Wilde	Drinking Buddies
Chris Messina	Like Crazy
Vera Farmiga	Higher Ground
Mike Vogel	She's Out Of My League
Adam LeFevre	She's Out Of My League
Michelle Monaghan	Trucker
Michael Shannon	Shotgun Stories
Christopher Walken	A Late Quartet
Philip Seymour Hoffman	A Late Quartet
Wallace Shawn	A Late Quartet
Steve Carell	Evan Almighty
John Goodman	Evan Almighty
Molly Shannon	Evan Almighty
Jonah Hill	Evan Almighty
Morgan Freeman	Evan Almighty
50 Cent	Get Rich or Die Tryin'
Terrence Howard	Get Rich or Die Tryin'
Viola Davis	Get Rich or Die Tryin'
Jamie Foxx	Miami Vice
Colin Farrell	Miami Vice
Ciar?n Hinds	Miami Vice
Chlo? Moretz	Zombies
Matt Damon	The Good Shepherd
Robert De Niro	The Good Shepherd
Joe Pesci	The Good Shepherd
Billy Crudup	The Good Shepherd
Alec Baldwin	The Good Shepherd
Edward Norton	The Illusionist
Paul Giamatti	The Illusionist
Jessica Biel	The Illusionist
Kevin Kline	The Pink Panther
Jason Statham	The Pink Panther
Robert Patrick	Autopsy
Frances Conroy	All-Star Superman
Mike Epps	Ghetto Stories: The Movie
Gary Oldman	The Unborn
Idris Elba	The Unborn
Carla Gugino	The Unborn
James Remar	The Unborn
Cam Gigandet	The Unborn
Missi Pyle	Soccer Mom
Ron Perlman	Stephen King's Desperation
Billy Burke	Luster
Alfred Molina	Yes, Virginia
Olivia Wilde	Protect Insurance Companies PSA
Jonah Hill	The Sitter
